dataset,value,month
Getötete,,2017-11-01
Getötete (vorläufige Daten),346,2017-11-01
Getötete,,2017-12-01
Getötete (vorläufige Daten),291,2017-12-01
Getötete,,2018-01-01
Getötete (vorläufige Daten),474,2018-01-01
Getötete,,2018-02-01
Getötete (vorläufige Daten),410,2018-02-01
Getötete,,2018-03-01
Getötete (vorläufige Daten),402,2018-03-01
Getötete,,2018-04-01
Getötete (vorläufige Daten),303,2018-04-01
Getötete,,2018-05-01
Getötete (vorläufige Daten),229,2018-05-01
Getötete,,2018-06-01
Getötete (vorläufige Daten),209,2018-06-01
Getötete,,2018-07-01
Getötete (vorläufige Daten),230,2018-07-01
Getötete,,2018-08-01
Getötete (vorläufige Daten),201,2018-08-01
Getötete,,2018-09-01
Getötete (vorläufige Daten),241,2018-09-01
Getötete,,2018-10-01
Getötete (vorläufige Daten),305,2018-10-01
Getötete,,2018-11-01
Getötete (vorläufige Daten),160,2018-11-01
Getötete,,2018-12-01
Getötete (vorläufige Daten),155,2018-12-01
Getötete,,2019-01-01
Getötete (vorläufige Daten),323,2019-01-01
Getötete,,2019-02-01
Getötete (vorläufige Daten),271,2019-02-01
Getötete,,2019-03-01
Getötete (vorläufige Daten),123,2019-03-01
Getötete,,2019-04-01
Getötete (vorläufige Daten),140,2019-04-01
Getötete,,2019-05-01
Getötete (vorläufige Daten),167,2019-05-01
Getötete,,2019-06-01
Getötete (vorläufige Daten),130,2019-06-01
Getötete,,2019-07-01
Getötete (vorläufige Daten),145,2019-07-01
Getötete,,2019-08-01
Getötete (vorläufige Daten),93,2019-08-01
Getötete,,2019-09-01
Getötete (vorläufige Daten),151,2019-09-01
Getötete,,2019-10-01
Getötete (vorläufige Daten),361,2019-10-01
Getötete,,2019-11-01
Getötete (vorläufige Daten),274,2019-11-01
Getötete,,2019-12-01
Getötete (vorläufige Daten),215,2019-12-01
Getötete,,2020-01-01
Getötete (vorläufige Daten),114,2020-01-01
Getötete,,2020-02-01
Getötete (vorläufige Daten),148,2020-02-01
Getötete,,2020-03-01
Getötete (vorläufige Daten),73,2020-03-01
Getötete,,2020-04-01
Getötete (vorläufige Daten),52,2020-04-01
Getötete,,2020-05-01
Getötete (vorläufige Daten),74,2020-05-01
Getötete,,2020-06-01
Getötete (vorläufige Daten),64,2020-06-01
Getötete,,2020-07-01
Getötete (vorläufige Daten),49,2020-07-01
Getötete,,2020-08-01
Getötete (vorläufige Daten),82,2020-08-01
Getötete,,2020-09-01
Getötete (vorläufige Daten),54,2020-09-01
Getötete,,2020-10-01
Getötete (vorläufige Daten),70,2020-10-01
Getötete,,2020-11-01
Getötete (vorläufige Daten),74,2020-11-01
Getötete,,2020-12-01
Getötete (vorläufige Daten),54,2020-12-01
Getötete,,2021-01-01
Getötete (vorläufige Daten),64,2021-01-01
Getötete,,2021-02-01
Getötete (vorläufige Daten),56,2021-02-01
Getötete,,2021-03-01
Getötete (vorläufige Daten),49,2021-03-01
Getötete,,2021-04-01
Getötete (vorläufige Daten),66,2021-04-01
Getötete,,2021-05-01
Getötete (vorläufige Daten),49,2021-05-01
Getötete,,2021-06-01
Getötete (vorläufige Daten),46,2021-06-01
Getötete,,2021-07-01
Getötete (vorläufige Daten),87,2021-07-01
Getötete,,2021-08-01
